ID,cluster1,cluster2,cluster3,cluster4,waterbody,Lat,Long,Sample_Origin
BH-90244,0.053,0.031,0.161,0.756,BEG,,,BODDENHECHT
BH-90246,0.807,0.027,0.074,0.092,BEG,,,BODDENHECHT
BH-90249,0.009,0.014,0.865,0.111,BEG,,,BODDENHECHT
BH-90249,0.009,0.014,0.865,0.111,GJB,,,BODDENHECHT
BH-90256,0.283,0.102,0.369,0.246,BEG,,,BODDENHECHT
BH-90256,0.283,0.102,0.369,0.246,BEG,,,BODDENHECHT
BH-90270,0.449,0.028,0.192,0.331,BEG,,,BODDENHECHT
BH-90301,0.93,0.043,0.014,0.013,BEG,,,BODDENHECHT
BH-90301,0.93,0.043,0.014,0.013,BEG,,,BODDENHECHT
BH-90304,0.017,0.016,0.075,0.892,BEG,,,BODDENHECHT
BH-90304,0.017,0.016,0.075,0.892,BEG,,,BODDENHECHT
BH-90310,0.012,0.007,0.189,0.792,BEG,,,BODDENHECHT
BH-90316,0.145,0.051,0.378,0.427,BEG,,,BODDENHECHT
BH-90408,0.016,0.016,0.248,0.719,BEG,,,BODDENHECHT
BH-90420,0.252,0.056,0.345,0.348,BEG,,,BODDENHECHT
BH-90425,0.038,0.007,0.673,0.282,BEG,,,BODDENHECHT
BH-90428,0.007,0.007,0.844,0.142,BEG,,,BODDENHECHT
BH-90433,0.367,0.031,0.576,0.027,BEG,,,BODDENHECHT
BH-90437,0.011,0.006,0.23,0.753,BEG,,,BODDENHECHT
BH-90443,0.122,0.216,0.462,0.199,BEG,,,BODDENHECHT
BH-90443,0.122,0.216,0.462,0.199,GJB,54.53,13.37,BODDENHECHT
BH-90444,0.077,0.052,0.412,0.46,BEG,,,BODDENHECHT
BH-90444,0.077,0.052,0.412,0.46,BEG,,,BODDENHECHT
BH-90454,0.014,0.005,0.453,0.528,BEG,,,BODDENHECHT
BH-90455,0.013,0.006,0.398,0.584,BEG,,,BODDENHECHT
BH-90458,0.006,0.004,0.101,0.889,BEG,,,BODDENHECHT
BH-90460,0.024,0.019,0.142,0.815,BEG,,,BODDENHECHT
BH-90500,0.009,0.014,0.834,0.142,BEG,,,BODDENHECHT
BH-90537,0.02,0.027,0.906,0.047,BEG,,,BODDENHECHT
BH-90537,0.02,0.027,0.906,0.047,GJB,54.53,13.37,BODDENHECHT
BH-90537,0.02,0.027,0.906,0.047,GJB,54.53,13.37,BODDENHECHT
BH-90549,0.021,0.014,0.167,0.797,BEG,,,BODDENHECHT
BH-90550,0.172,0.062,0.37,0.396,BEG,,,BODDENHECHT
BH-90550,0.172,0.062,0.37,0.396,BEG,,,BODDENHECHT
BH-90553,0.022,0.009,0.333,0.637,BEG,,,BODDENHECHT
BH-90553,0.022,0.009,0.333,0.637,GJB,,,BODDENHECHT
BH-90559,0.039,0.023,0.381,0.556,BEG,,,BODDENHECHT
BH-90561,0.05,0.018,0.262,0.67,BEG,,,BODDENHECHT
BH-90564,0.007,0.005,0.216,0.772,BEG,,,BODDENHECHT
BH-90565,0.011,0.015,0.181,0.793,BEG,,,BODDENHECHT
BH-90577,0.018,0.016,0.935,0.031,BEG,,,BODDENHECHT
BH-90577,0.018,0.016,0.935,0.031,BEG,,,BODDENHECHT
BH-90582,0.037,0.067,0.829,0.068,BEG,,,BODDENHECHT
BH-90599,0.902,0.06,0.019,0.019,BEG,,,BODDENHECHT
BH-90599,0.902,0.06,0.019,0.019,BEG,54.5421,13.3658,BODDENHECHT
BH-90600,0.068,0.038,0.245,0.649,BEG,,,BODDENHECHT
BH-90602,0.018,0.01,0.923,0.049,BEG,,,BODDENHECHT
BH-90605,0.022,0.01,0.105,0.863,BEG,,,BODDENHECHT
BH-90606,0.006,0.007,0.888,0.099,BEG,,,BODDENHECHT
BH-90608,0.039,0.01,0.881,0.069,BEG,,,BODDENHECHT
BH-90609,0.014,0.007,0.22,0.759,BEG,,,BODDENHECHT
BH-90614,0.096,0.009,0.617,0.278,BEG,,,BODDENHECHT
BH-90614,0.096,0.009,0.617,0.278,BEG,,,BODDENHECHT
BH-90852,0.005,0.006,0.943,0.046,BEG,,,BODDENHECHT
BH-90852,0.005,0.006,0.943,0.046,BEZ,,,BODDENHECHT
BH-90867,0.045,0.01,0.24,0.705,BEG,,,BODDENHECHT
BH-90919,0.007,0.008,0.896,0.089,BEG,,,BODDENHECHT
BH-90919,0.007,0.008,0.896,0.089,GJB,54.56562,13.42465,BODDENHECHT
BH-90923,0.013,0.006,0.269,0.712,Duwenbeek,,,BODDENHECHT
BH-90923,0.013,0.006,0.269,0.712,Duwenbeek,,,BODDENHECHT
BH-91012,0.081,0.899,0.013,0.007,Duwenbeek,,,BODDENHECHT
BH-91039,0.608,0.048,0.122,0.222,Duwenbeek,,,BODDENHECHT
BH-91230,0.761,0.223,0.01,0.007,Duwenbeek,,,BODDENHECHT
BH-91240,0.883,0.1,0.009,0.008,Duwenbeek,,,BODDENHECHT
BH-91246,0.95,0.023,0.013,0.014,Duwenbeek,,,BODDENHECHT
BH-91257,0.237,0.167,0.185,0.412,Duwenbeek,,,BODDENHECHT
BH-91261,0.455,0.032,0.393,0.121,Duwenbeek,,,BODDENHECHT
BH-91273,0.004,0.003,0.079,0.914,Duwenbeek,,,BODDENHECHT
BH-93100,0.931,0.01,0.034,0.025,Duwenbeek,54.47845,13.27969,BODDENHECHT
BH-93141,0.297,0.196,0.088,0.419,Duwenbeek,54.47845,13.27969,BODDENHECHT
BH-00750,0.907,0.082,0.005,0.006,GB,,,BODDENHECHT
BH-01877,0.025,0.95,0.013,0.012,KD,,,BODDENHECHT
BH-01880,0.029,0.02,0.423,0.528,GB,,,BODDENHECHT
BH-01881,0.015,0.011,0.118,0.855,GB,,,BODDENHECHT
BH-01882,0.022,0.012,0.113,0.853,GB,,,BODDENHECHT
BH-01883,0.006,0.009,0.94,0.045,GB,,,BODDENHECHT
BH-01884,0.005,0.006,0.107,0.882,GB,,,BODDENHECHT
BH-01885,0.034,0.023,0.277,0.666,GB,,,BODDENHECHT
BH-01886,0.014,0.009,0.332,0.645,GB,,,BODDENHECHT
BH-01887,0.009,0.01,0.953,0.028,GB,,,BODDENHECHT
BH-01888,0.01,0.014,0.906,0.07,GB,,,BODDENHECHT
BH-01889,0.051,0.035,0.276,0.639,GB,,,BODDENHECHT
BH-01890,0.829,0.063,0.061,0.047,GB,,,BODDENHECHT
BH-01891,0.341,0.092,0.527,0.04,GB,,,BODDENHECHT
BH-01892,0.007,0.006,0.12,0.868,GB,,,BODDENHECHT
BH-01893,0.015,0.006,0.317,0.661,GB,,,BODDENHECHT
BH-01894,0.032,0.011,0.248,0.709,GB,,,BODDENHECHT
BH-01895,0.052,0.934,0.007,0.007,GB,,,BODDENHECHT
BH-01897,0.01,0.01,0.931,0.05,GB,,,BODDENHECHT
BH-01898,0.039,0.014,0.511,0.437,GB,,,BODDENHECHT
BH-01899,0.007,0.005,0.139,0.848,GB,,,BODDENHECHT
BH-01900,0.015,0.009,0.271,0.705,GB,,,BODDENHECHT
BH-01901,0.006,0.005,0.063,0.926,GB,,,BODDENHECHT
BH-01902,0.024,0.02,0.336,0.62,GB,,,BODDENHECHT
BH-01904,0.252,0.23,0.135,0.383,GB,,,BODDENHECHT
BH-01908,0.017,0.024,0.86,0.099,GB,,,BODDENHECHT
BH-52037,0.033,0.012,0.201,0.754,GB,54.36519,13.68613,BODDENHECHT
BH-52038,0.022,0.013,0.145,0.82,GB,54.36519,13.68613,BODDENHECHT
BH-52039,0.013,0.012,0.306,0.668,GB,54.36519,13.68613,BODDENHECHT
BH-52040,0.006,0.004,0.165,0.825,GB,54.36519,13.68613,BODDENHECHT
BH-52041,0.006,0.006,0.099,0.889,GB,54.36519,13.68613,BODDENHECHT
BH-52042,0.408,0.024,0.302,0.267,GB,54.36519,13.68613,BODDENHECHT
BH-90027,0.011,0.009,0.602,0.378,GB,,,BODDENHECHT
BH-90448,0.005,0.008,0.933,0.054,GB,,,BODDENHECHT
BH-90450,0.013,0.008,0.095,0.885,GB,,,BODDENHECHT
BH-90452,0.05,0.032,0.38,0.537,GB,,,BODDENHECHT
BH-90456,0.038,0.033,0.87,0.059,GB,,,BODDENHECHT
BH-90457,0.014,0.006,0.385,0.595,GB,,,BODDENHECHT
BH-90457,0.014,0.006,0.385,0.595,GB,,,BODDENHECHT
BH-90457,0.014,0.006,0.385,0.595,GB,,,BODDENHECHT
BH-90538,0.019,0.018,0.322,0.641,GB,,,BODDENHECHT
BH-90538,0.019,0.018,0.322,0.641,GB,54.3436,13.5067,BODDENHECHT
BH-90567,0.03,0.057,0.852,0.062,GB,,,BODDENHECHT
BH-90618,0.031,0.014,0.914,0.041,GB,,,BODDENHECHT
BH-90619,0.414,0.051,0.274,0.262,GB,,,BODDENHECHT
BH-90619,0.414,0.051,0.274,0.262,GB,54.3322,13.4606,BODDENHECHT
BH-90624,0.187,0.053,0.347,0.414,GB,,,BODDENHECHT
BH-90638,0.78,0.042,0.061,0.118,GB,,,BODDENHECHT
BH-90642,0.033,0.021,0.311,0.634,GB,,,BODDENHECHT
BH-90646,0.013,0.01,0.378,0.599,GB,,,BODDENHECHT
BH-90667,0.028,0.058,0.83,0.084,GB,,,BODDENHECHT
BH-90687,0.859,0.053,0.062,0.026,GB,,,BODDENHECHT
BH-90695,0.014,0.019,0.867,0.099,GB,,,BODDENHECHT
BH-90733,0.179,0.181,0.383,0.257,GB,,,BODDENHECHT
BH-90737,0.126,0.1,0.184,0.59,GB,,,BODDENHECHT
BH-90740,0.505,0.144,0.263,0.088,GB,,,BODDENHECHT
BH-90742,0.046,0.118,0.736,0.1,GB,,,BODDENHECHT
BH-90742,0.046,0.118,0.736,0.1,GB,54.3434,13.5071,BODDENHECHT
BH-90745,0.018,0.01,0.663,0.308,GB,,,BODDENHECHT
BH-90745,0.018,0.01,0.663,0.308,GB,,,BODDENHECHT
BH-90746,0.061,0.025,0.258,0.656,GB,,,BODDENHECHT
BH-90747,0.12,0.126,0.682,0.073,GB,,,BODDENHECHT
BH-90752,0.309,0.092,0.276,0.322,GB,,,BODDENHECHT
BH-90754,0.132,0.062,0.302,0.504,GB,,,BODDENHECHT
BH-90756,0.587,0.396,0.009,0.008,GB,,,BODDENHECHT
BH-90757,0.009,0.008,0.926,0.057,GB,,,BODDENHECHT
BH-90764,0.006,0.004,0.121,0.869,GB,,,BODDENHECHT
BH-90768,0.172,0.227,0.488,0.113,GB,,,BODDENHECHT
BH-90770,0.4,0.141,0.272,0.187,GB,,,BODDENHECHT
BH-90778,0.063,0.035,0.45,0.453,GB,,,BODDENHECHT
BH-90784,0.021,0.012,0.289,0.678,GB,,,BODDENHECHT
BH-90787,0.07,0.03,0.457,0.443,GB,,,BODDENHECHT
BH-90787,0.07,0.03,0.457,0.443,GB,54.3152,13.4598,BODDENHECHT
BH-90789,0.033,0.088,0.839,0.039,GB,,,BODDENHECHT
BH-90789,0.033,0.088,0.839,0.039,GB,54.33248,13.45668,BODDENHECHT
BH-90790,0.026,0.018,0.855,0.101,GB,,,BODDENHECHT
BH-90790,0.026,0.018,0.855,0.101,GB,54.316,13.5217,BODDENHECHT
BH-90795,0.004,0.003,0.127,0.866,GB,,,BODDENHECHT
BH-90795,0.004,0.003,0.127,0.866,GB,54.3284,13.4599,BODDENHECHT
BH-90796,0.046,0.179,0.461,0.314,GB,,,BODDENHECHT
BH-90801,0.014,0.008,0.311,0.668,GB,,,BODDENHECHT
BH-90801,0.014,0.008,0.311,0.668,GB,54.3336,13.4549,BODDENHECHT
BH-90802,0.027,0.011,0.427,0.534,GB,,,BODDENHECHT
BH-90803,0.011,0.008,0.156,0.824,GB,,,BODDENHECHT
BH-90807,0.005,0.006,0.108,0.881,GB,,,BODDENHECHT
BH-90808,0.03,0.065,0.828,0.077,GB,,,BODDENHECHT
BH-90809,0.005,0.004,0.136,0.855,GB,,,BODDENHECHT
BH-90809,0.005,0.004,0.136,0.855,GB,54.314,13.4628,BODDENHECHT
BH-90810,0.009,0.005,0.113,0.872,GB,,,BODDENHECHT
BH-90810,0.009,0.005,0.113,0.872,GB,54.34683,13.581,BODDENHECHT
BH-90811,0.096,0.009,0.647,0.249,GB,,,BODDENHECHT
BH-90812,0.033,0.154,0.793,0.021,GB,,,BODDENHECHT
BH-90812,0.033,0.154,0.793,0.021,GB,54.3314,13.4595,BODDENHECHT
BH-90813,0.655,0.121,0.185,0.04,GB,,,BODDENHECHT
BH-90836,0.005,0.005,0.088,0.902,GB,,,BODDENHECHT
BH-90848,0.008,0.005,0.212,0.775,GB,,,BODDENHECHT
BH-91237,0.529,0.216,0.136,0.119,GB,54.36242,13.65557,BODDENHECHT
BH-91237,0.529,0.216,0.136,0.119,GB,54.36,13.6499,BODDENHECHT
BH-91244,0.006,0.007,0.711,0.276,GB,54.36242,13.65557,BODDENHECHT
BH-91349,0.045,0.026,0.619,0.31,GB,54.36138,13.65555,BODDENHECHT
BH-91400,0.058,0.18,0.631,0.132,GB,54.36242,13.65557,BODDENHECHT
BH-91405,0.012,0.006,0.461,0.521,GB,54.36242,13.65557,BODDENHECHT
BH-91431,0.006,0.009,0.937,0.048,GB,54.36242,13.65557,BODDENHECHT
BH-91432,0.02,0.012,0.412,0.556,GB,54.36274,13.69018,BODDENHECHT
BH-91439,0.023,0.014,0.359,0.604,GB,54.36188,13.65553,BODDENHECHT
BH-91447,0.012,0.008,0.955,0.025,GB,54.36242,13.65557,BODDENHECHT
BH-91523,0.013,0.009,0.869,0.109,GB,54.36242,13.65557,BODDENHECHT
BH-91527,0.149,0.094,0.696,0.06,GB,54.36242,13.65557,BODDENHECHT
BH-91529,0.033,0.079,0.783,0.106,GB,54.36188,13.65553,BODDENHECHT
BH-91530,0.007,0.004,0.173,0.817,GB,54.36175,13.68808,BODDENHECHT
BH-91531,0.022,0.014,0.143,0.82,GB,54.36175,13.68808,BODDENHECHT
BH-91532,0.007,0.007,0.958,0.027,GB,54.36242,13.65557,BODDENHECHT
BH-91533,0.048,0.028,0.371,0.553,GB,54.36242,13.65557,BODDENHECHT
BH-91535,0.012,0.015,0.847,0.126,GB,54.36188,13.65553,BODDENHECHT
BH-91536,0.014,0.009,0.941,0.037,GB,54.36188,13.65553,BODDENHECHT
BH-91537,0.005,0.005,0.103,0.887,GB,54.36242,13.65557,BODDENHECHT
BH-91538,0.013,0.009,0.36,0.618,GB,54.36175,13.68808,BODDENHECHT
BH-91538,0.013,0.009,0.36,0.618,GB,,,BODDENHECHT
BH-91539,0.51,0.051,0.102,0.338,GB,54.36188,13.65553,BODDENHECHT
BH-91541,0.008,0.007,0.246,0.74,GB,54.36242,13.65557,BODDENHECHT
BH-91542,0.019,0.05,0.849,0.081,GB,54.36188,13.65553,BODDENHECHT
BH-91542,0.019,0.05,0.849,0.081,GB,54.3603,13.6497,BODDENHECHT
BH-91543,0.022,0.024,0.451,0.503,GB,54.36242,13.65557,BODDENHECHT
BH-91543,0.022,0.024,0.451,0.503,KB,54.36264,13.6518,BODDENHECHT
BH-91544,0.347,0.576,0.05,0.028,GB,54.36188,13.65553,BODDENHECHT
BH-91591,0.075,0.029,0.113,0.782,GB,54.3692,13.69067,BODDENHECHT
BH-91598,0.005,0.004,0.085,0.906,GB,54.36362,13.68781,BODDENHECHT
BH-91602,0.145,0.041,0.162,0.652,GB,54.36232,13.68804,BODDENHECHT
BH-91604,0.075,0.023,0.486,0.417,GB,54.35879,13.65061,BODDENHECHT
BH-91611,0.019,0.017,0.93,0.034,GB,54.35879,13.65061,BODDENHECHT
BH-91623,0.093,0.043,0.317,0.547,GB,54.36811,13.68719,BODDENHECHT
BH-91624,0.007,0.005,0.139,0.849,GB,54.36214,13.64826,BODDENHECHT
BH-91630,0.005,0.004,0.08,0.911,GB,54.36365,13.65582,BODDENHECHT
BH-91631,0.075,0.025,0.431,0.47,GB,54.36188,13.65222,BODDENHECHT
BH-91632,0.012,0.01,0.231,0.747,GB,54.36865,13.68227,BODDENHECHT
BH-91635,0.008,0.005,0.458,0.529,GB,54.36948,13.68846,BODDENHECHT
BH-91650,0.069,0.02,0.196,0.715,GB,54.37,13.68391,BODDENHECHT
BH-91657,0.165,0.073,0.732,0.03,GB,54.3621,13.64831,BODDENHECHT
BH-91658,0.085,0.185,0.66,0.071,GB,54.36412,13.69585,BODDENHECHT
BH-91676,0.004,0.002,0.126,0.867,GB,54.37,13.68391,BODDENHECHT
BH-91677,0.015,0.011,0.89,0.085,GB,54.36865,13.68227,BODDENHECHT
BH-91683,0.043,0.019,0.348,0.589,GB,54.36214,13.64826,BODDENHECHT
BH-91686,0.007,0.006,0.956,0.031,GB,54.36042,13.64629,BODDENHECHT
BH-91691,0.025,0.031,0.89,0.054,GB,54.36214,13.64826,BODDENHECHT
BH-91695,0.013,0.009,0.217,0.76,GB,54.36249,13.689,BODDENHECHT
BH-91696,0.026,0.017,0.08,0.877,GB,54.36205,13.696,BODDENHECHT
BH-91696,0.026,0.017,0.08,0.877,GB,54.3653,13.6877,BODDENHECHT
BH-91697,0.04,0.023,0.265,0.671,GB,54.45128,13.19852,BODDENHECHT
BH-91699,0.051,0.015,0.169,0.765,GB,54.36188,13.65222,BODDENHECHT
BH-91702,0.017,0.026,0.912,0.045,GB,54.36188,13.65222,BODDENHECHT
BH-91705,0.237,0.048,0.393,0.321,GB,54.36042,13.64629,BODDENHECHT
BH-91720,0.053,0.012,0.176,0.759,GB,54.36579,13.68398,BODDENHECHT
BH-91722,0.308,0.055,0.543,0.095,GB,,,BODDENHECHT
BH-91722,0.308,0.055,0.543,0.095,GB,54.35959,13.64561,BODDENHECHT
BH-91724,0.566,0.248,0.135,0.051,GB,54.36255,13.65469,BODDENHECHT
BH-91737,0.008,0.017,0.9,0.075,GB,54.36188,13.65222,BODDENHECHT
BH-91752,0.011,0.012,0.086,0.89,GB,54.36255,13.65469,BODDENHECHT
BH-91756,0.039,0.039,0.114,0.808,GB,54.36365,13.65582,BODDENHECHT
BH-91765,0.008,0.004,0.697,0.291,GB,54.36111,13.64961,BODDENHECHT
BH-91765,0.008,0.004,0.697,0.291,GB,,,BODDENHECHT
BH-91765,0.009,0.003,0.68,0.307,GB,54.36111,13.64961,BODDENHECHT
BH-91765,0.009,0.003,0.68,0.307,GB,,,BODDENHECHT
BH-91768,0.029,0.016,0.193,0.762,GB,,,BODDENHECHT
BH-91772,0.021,0.01,0.218,0.751,GB,54.36865,13.68227,BODDENHECHT
BH-91774,0.019,0.014,0.15,0.817,GB,54.35879,13.65061,BODDENHECHT
BH-91778,0.02,0.014,0.338,0.628,GB,54.36278,13.69017,BODDENHECHT
BH-91778,0.02,0.014,0.338,0.628,GB,54.3653,13.6877,BODDENHECHT
BH-91782,0.018,0.006,0.566,0.411,GB,54.36188,13.65222,BODDENHECHT
BH-91786,0.013,0.021,0.937,0.029,GB,54.45075,13.19891,BODDENHECHT
BH-91789,0.095,0.063,0.139,0.703,GB,54.36412,13.69585,BODDENHECHT
BH-91789,0.07,0.034,0.144,0.753,GB,54.36412,13.69585,BODDENHECHT
BH-01596,0.029,0.01,0.629,0.333,GJB,,,BODDENHECHT
BH-01598,0.175,0.146,0.329,0.35,GJB,,,BODDENHECHT
BH-50281,0.007,0.005,0.084,0.903,GJB,,,BODDENHECHT
BH-50282,0.023,0.01,0.278,0.689,GJB,,,BODDENHECHT
BH-50283,0.016,0.017,0.205,0.762,GJB,,,BODDENHECHT
BH-50283,0.016,0.017,0.205,0.762,BEZ,,,BODDENHECHT
BH-50284,0.007,0.005,0.121,0.867,GJB,,,BODDENHECHT
BH-50285,0.018,0.007,0.546,0.429,GJB,,,BODDENHECHT
BH-50286,0.04,0.032,0.138,0.789,GJB,,,BODDENHECHT
BH-50287,0.128,0.058,0.347,0.468,GJB,,,BODDENHECHT
BH-50468,0.31,0.208,0.124,0.358,GJB,,,BODDENHECHT
BH-50469,0.09,0.069,0.336,0.505,GJB,,,BODDENHECHT
BH-50470,0.008,0.006,0.36,0.626,GJB,,,BODDENHECHT
BH-50498,0.007,0.007,0.95,0.037,GJB,,,BODDENHECHT
BH-50527,0.012,0.011,0.919,0.058,GJB,,,BODDENHECHT
BH-50528,0.018,0.012,0.096,0.874,GJB,,,BODDENHECHT
BH-50529,0.024,0.045,0.885,0.046,GJB,,,BODDENHECHT
BH-50531,0.052,0.127,0.73,0.091,GJB,,,BODDENHECHT
BH-50531,0.052,0.127,0.73,0.091,BEG,54.563633,13.361467,BODDENHECHT
BH-50532,0.017,0.014,0.089,0.88,GJB,,,BODDENHECHT
BH-51955,0.017,0.01,0.283,0.69,GJB,54.52235,13.48242,BODDENHECHT
BH-51955,0.017,0.01,0.283,0.69,BEG,,,BODDENHECHT
BH-51956,0.071,0.017,0.42,0.492,GJB,54.52283,13.34772,BODDENHECHT
BH-51956,0.071,0.017,0.42,0.492,BEG,54.5331,13.36948,BODDENHECHT
BH-51957,0.02,0.012,0.475,0.492,GJB,54.52175,13.34778,BODDENHECHT
BH-51958,0.296,0.031,0.36,0.312,GJB,54.52732,13.34988,BODDENHECHT
BH-51958,0.296,0.031,0.36,0.312,BEG,54.5331,13.36948,BODDENHECHT
BH-51959,0.11,0.029,0.354,0.507,GJB,54.52388,13.34918,BODDENHECHT
BH-51960,0.058,0.028,0.424,0.49,GJB,54.5242,13.34887,BODDENHECHT
BH-51960,0.058,0.028,0.424,0.49,BEG,54.53318,13.36948,BODDENHECHT
BH-90034,0.009,0.005,0.167,0.819,GJB,,,BODDENHECHT
BH-90034,0.009,0.005,0.167,0.819,GJB,54.50035,13.50351,BODDENHECHT
BH-90254,0.353,0.125,0.454,0.069,GJB,,,BODDENHECHT
BH-90255,0.016,0.01,0.142,0.832,GJB,,,BODDENHECHT
BH-90265,0.037,0.021,0.64,0.302,GJB,,,BODDENHECHT
BH-90273,0.087,0.033,0.277,0.603,GJB,,,BODDENHECHT
BH-90292,0.005,0.004,0.151,0.84,GJB,,,BODDENHECHT
BH-90292,0.005,0.004,0.151,0.84,BEZ,,,BODDENHECHT
BH-90295,0.215,0.064,0.675,0.046,GJB,,,BODDENHECHT
BH-90299,0.034,0.017,0.297,0.652,GJB,,,BODDENHECHT
BH-90300,0.866,0.073,0.03,0.032,GJB,,,BODDENHECHT
BH-01737,0.014,0.012,0.068,0.906,KB,,,BODDENHECHT
BH-01789,0.007,0.004,0.14,0.849,KB,,,BODDENHECHT
BH-01806,0.009,0.007,0.098,0.887,KB,,,BODDENHECHT
BH-01809,0.066,0.059,0.375,0.5,KB,,,BODDENHECHT
BH-01810,0.01,0.006,0.107,0.877,KB,,,BODDENHECHT
BH-01814,0.049,0.019,0.163,0.769,KB,,,BODDENHECHT
BH-01816,0.007,0.006,0.321,0.666,KB,,,BODDENHECHT
BH-01818,0.298,0.052,0.233,0.416,KB,,,BODDENHECHT
BH-01825,0.007,0.005,0.145,0.843,KB,,,BODDENHECHT
BH-01835,0.005,0.006,0.059,0.93,KB,,,BODDENHECHT
BH-01838,0.024,0.038,0.053,0.885,KB,,,BODDENHECHT
BH-01845,0.227,0.288,0.406,0.079,KB,,,BODDENHECHT
BH-01852,0.032,0.016,0.631,0.321,KB,,,BODDENHECHT
BH-01860,0.004,0.003,0.054,0.94,KB,,,BODDENHECHT
BH-01862,0.009,0.01,0.94,0.041,KB,,,BODDENHECHT
BH-01922,0.029,0.036,0.886,0.049,KB,,,BODDENHECHT
BH-91204,0.095,0.035,0.354,0.517,KB,,,BODDENHECHT
BH-91208,0.117,0.013,0.709,0.162,KB,,,BODDENHECHT
BH-91209,0.012,0.008,0.135,0.845,KB,,,BODDENHECHT
BH-91213,0.183,0.06,0.229,0.528,KB,,,BODDENHECHT
BH-91215,0.006,0.004,0.239,0.751,KB,,,BODDENHECHT
BH-91216,0.022,0.015,0.18,0.782,KB,,,BODDENHECHT
BH-91219,0.006,0.004,0.093,0.897,KB,,,BODDENHECHT
BH-91221,0.005,0.005,0.085,0.905,KB,,,BODDENHECHT
BH-91223,0.006,0.004,0.165,0.825,KB,,,BODDENHECHT
BH-91224,0.006,0.01,0.914,0.071,KB,,,BODDENHECHT
BH-91224,0.006,0.01,0.914,0.071,BAT,54.3924,12.6966,BODDENHECHT
BH-91227,0.005,0.003,0.136,0.855,KB,,,BODDENHECHT
BH-91231,0.005,0.005,0.938,0.053,KB,,,BODDENHECHT
BH-91233,0.006,0.006,0.953,0.034,KB,,,BODDENHECHT
BH-91238,0.201,0.02,0.263,0.517,KB,,,BODDENHECHT
BH-91241,0.09,0.028,0.383,0.499,KB,,,BODDENHECHT
BH-91254,0.058,0.037,0.19,0.716,KB,,,BODDENHECHT
BH-91260,0.016,0.008,0.204,0.773,KB,,,BODDENHECHT
BH-91268,0.009,0.015,0.565,0.411,KB,,,BODDENHECHT
BH-91268,0.009,0.015,0.565,0.411,KB,54.434667,13.1055,BODDENHECHT
BH-91268,0.009,0.015,0.565,0.411,KB,,,BODDENHECHT
BH-91277,0.009,0.004,0.206,0.78,KB,,,BODDENHECHT
BH-91279,0.108,0.434,0.348,0.11,KB,,,BODDENHECHT
BH-91280,0.03,0.013,0.192,0.765,KB,,,BODDENHECHT
BH-91282,0.018,0.013,0.24,0.729,KB,,,BODDENHECHT
BH-91282,0.018,0.013,0.24,0.729,KB,54.3785,13.1157,BODDENHECHT
BH-91289,0.04,0.025,0.305,0.63,KB,,,BODDENHECHT
BH-91289,0.04,0.025,0.305,0.63,SB,,,BODDENHECHT
BH-91289,0.04,0.025,0.305,0.63,SB,54.4613,13.1951,BODDENHECHT
BH-91289,0.04,0.025,0.305,0.63,KB,54.45976,13.19444,BODDENHECHT
BH-91310,0.064,0.041,0.677,0.218,KB,,,BODDENHECHT
BH-91310,0.064,0.041,0.677,0.218,SB,54.4548,13.1817,BODDENHECHT
BH-91316,0.007,0.005,0.135,0.853,KB,,,BODDENHECHT
BH-91317,0.017,0.03,0.728,0.225,KB,,,BODDENHECHT
BH-91318,0.007,0.005,0.193,0.795,KB,,,BODDENHECHT
BH-91325,0.072,0.046,0.532,0.35,KB,,,BODDENHECHT
BH-91329,0.005,0.007,0.951,0.036,KB,,,BODDENHECHT
BH-91332,0.01,0.006,0.279,0.704,KB,,,BODDENHECHT
BH-91333,0.055,0.016,0.418,0.51,KB,,,BODDENHECHT
BH-91335,0.016,0.107,0.8,0.077,KB,,,BODDENHECHT
BH-91359,0.018,0.038,0.763,0.181,KB,,,BODDENHECHT
BH-91359,0.018,0.038,0.763,0.181,KB,54.26531,13.09378,BODDENHECHT
BH-91360,0.017,0.011,0.213,0.759,KB,,,BODDENHECHT
BH-91366,0.007,0.006,0.1,0.888,KB,,,BODDENHECHT
BH-91368,0.013,0.008,0.139,0.839,KB,,,BODDENHECHT
BH-91368,0.013,0.008,0.139,0.839,SB,54.4637,13.196,BODDENHECHT
BH-91370,0.012,0.032,0.881,0.076,KB,,,BODDENHECHT
BH-91371,0.025,0.019,0.223,0.733,KB,,,BODDENHECHT
BH-91373,0.006,0.004,0.328,0.662,KB,,,BODDENHECHT
BH-91374,0.005,0.005,0.938,0.052,KB,,,BODDENHECHT
BH-91375,0.005,0.003,0.143,0.848,KB,,,BODDENHECHT
BH-91377,0.024,0.015,0.177,0.784,KB,,,BODDENHECHT
BH-91378,0.43,0.069,0.141,0.361,KB,,,BODDENHECHT
BH-91379,0.013,0.012,0.102,0.873,KB,,,BODDENHECHT
BH-91380,0.027,0.012,0.354,0.607,KB,,,BODDENHECHT
BH-91381,0.083,0.021,0.252,0.643,KB,,,BODDENHECHT
BH-91384,0.013,0.013,0.801,0.173,KB,,,BODDENHECHT
BH-00670,0.05,0.022,0.343,0.585,KB,,,BODDENHECHT
BH-00729,0.013,0.019,0.92,0.048,SB,,,BODDENHECHT
BH-00730,0.027,0.01,0.419,0.544,SB,,,BODDENHECHT
