name,id,waterbody,month,year,Lat,Long,type,turbidity,SAL,WT
Barth,103070014,Barthe,1,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,2.9
Kemnitz,105210010,Ziese,1,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,5.7
Wolgast,111140027,Ziese,1,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,5.3
Neuendorf,112350018,Sehrowbach,1,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,7.9
Barth,103070014,Barthe,2,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,0.6
Kemnitz,105210010,Ziese,2,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,1.6
Wolgast,111140027,Ziese,2,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,1.2
Neuendorf,112350018,Sehrowbach,2,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,0
Barth,103070014,Barthe,3,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,4.8
Kemnitz,105210010,Ziese,3,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,3
Wolgast,111140027,Ziese,3,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,2.85
Neuendorf,112350018,Sehrowbach,3,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,1.2
Barth,103070014,Barthe,4,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,9.4
Kemnitz,105210010,Ziese,4,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,8.8
Wolgast,111140027,Ziese,4,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,8.4
Neuendorf,112350018,Sehrowbach,4,2005,54.3821417140574,13.2670909497788,Freshwater,,0.898356982381818,8.5
Barth,103070014,Barthe,5,2005,54.3663863698681,12.6874701057115,Freshwater,,0.701478030562222,12.3
Kemnitz,105210010,Ziese,5,2005,54.0850610286063,13.5276303287714,Freshwater,,0.366666666666667,14.6
Wolgast,111140027,Ziese,5,2005,54.042512008582,13.7348408690934,Freshwater,,0.366666666666667,14.9
