fish_ID,waterbody,TL_mm,phenotype,sex,genotype,d18O,Sr,lifeyear,s_index
BH-00355,Tributary,552,FW_resident,m,2,-10.8049422759151,1.77,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-10.6175754099156,1.56759856630824,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-10.4292517069051,1.4110394265233,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-10.1346428645527,1.19064516129032,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-10.2956348971596,1.17677419354839,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-10.3480266632692,1.31412186379928,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-10.2770191226623,1.62440860215054,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-10.2318508049863,2.00519713261649,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-10.1059743405634,1.88724014336918,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-9.75360351626654,1.68774193548387,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-9.27264706428412,1.06625089605735,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-8.49532263810772,0.85563440860215,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-8.09465159650783,0.817236559139785,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-7.99624154747167,0.819720430107527,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-7.9847753506099,0.783139784946236,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-7.86846098422806,0.769390681003584,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-7.83363562129967,0.748136200716846,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-8.17797742704963,0.923906810035842,1,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-8.8396641487788,0.90110394265233,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-8.75666188430697,0.801064516129032,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-8.49404342598154,0.815354838709678,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-7.62004865590471,0.879562724014337,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-6.64883744067523,0.87863082437276,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-6.38697100925259,0.851379928315412,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-6.49947917063562,0.788734767025089,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,-6.25070783673357,0.807301075268817,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,,0.840562724014337,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,,0.931275985663083,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,,1.18386379928315,2,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,,1.11761290322581,3,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,,1.15659498207885,3,0.20774359930535
BH-00355,Tributary,552,FW_resident,m,2,,1.05077777777778,3,0.20774359930535
BH-00356,Tributary,815,FW_resident,f,"",-9.66673676206976,1.34666666666667,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-9.32636241239794,1.40292929292929,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-9.16687047214845,1.43979797979798,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-8.93175100986917,1.31686868686869,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-8.40407847086228,1.27535353535354,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-7.85258374695735,1.20919191919192,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-7.32822501372587,1.05580808080808,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-6.58893178704293,0.875444444444445,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-6.60236053048115,0.844747474747475,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-6.83219421264734,0.840646464646465,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-6.89988228067223,0.827161616161616,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-6.98898361213969,0.957555555555556,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-7.23073617003356,1.07560606060606,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-7.51584012270093,0.936444444444444,1,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-8.27235229565732,0.838717171717172,2,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-8.57595775761811,0.90610101010101,2,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-8.39636258118849,0.885919191919192,2,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-8.13938556511411,0.73649494949495,2,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-8.0677719422444,0.774,3,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-7.85037936343069,0.912474747474747,3,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-7.53309757832214,0.77630303030303,3,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-6.97007595331271,0.728888888888889,3,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-6.44902046480248,0.721555555555556,3,0.134725057780602
BH-00356,Tributary,815,FW_resident,f,"",-6.16923846386434,0.799313131313132,3,0.134725057780602
