fish_ID,ID,age,capt,area,d18O,res,Sr,Na,Mg,Ba,Mn,year,dist
BH-00355,BH-00355,2,Peene,Freshwater,-9.2705864,-1.47794946363189,0.00177,0.00809,0.000127,3.72333333333333e-05,0.000107611111111111,1,0
BH-00355,BH-00355,2,Peene,Freshwater,-9.20753575,-1.42383692194892,0.00156759856630824,0.0079958064516129,9.64200716845878e-05,3.23010752688172e-05,8.61559139784946e-05,1,35.90264614
BH-00355,BH-00355,2,Peene,Freshwater,-9.093559575,-1.31902019026246,0.0014110394265233,0.00725089605734767,8.58114695340502e-05,2.79275985663082e-05,6.64125448028674e-05,1,71.80529228
BH-00355,BH-00355,2,Peene,Freshwater,-8.9710958125,-1.17027057427232,0.00119064516129032,0.00707974910394265,8.3616129032258e-05,2.30982078853047e-05,7.52505376344086e-05,1,143.836713
BH-00355,BH-00355,2,Peene,Freshwater,-9.0571842,-1.23081854269029,0.00117677419354839,0.00714681003584229,8.6994623655914e-05,2.26017921146953e-05,7.0915770609319e-05,1,179.7386992
BH-00355,BH-00355,2,Peene,Freshwater,-9.08143445,-1.22765850276712,0.00131412186379928,0.00722035842293907,7.36551971326165e-05,3.6036559139785e-05,8.07451612903226e-05,1,215.8703314
BH-00355,BH-00355,2,Peene,Freshwater,-9.0535466625,-1.16207873162204,0.00162440860215054,0.00765139784946237,7.55032258064516e-05,4.44666666666667e-05,9.26100358422939e-05,1,251.771722
BH-00355,BH-00355,2,Peene,Freshwater,-9.0462715875,-1.09066733269919,0.00200519713261649,0.00757218637992832,8.25691756272402e-05,4.62716845878136e-05,9.83681003584229e-05,1,287.673426
BH-00355,BH-00355,2,Peene,Freshwater,-8.962608225,-0.912789040006008,0.00188724014336918,0.0073315770609319,7.56448028673835e-05,5.73856630824373e-05,5.77025089605735e-05,1,323.575339
BH-00355,BH-00355,2,Peene,Freshwater,-8.768606225,-0.631944477969133,0.00168774193548387,0.00717268817204301,7.23487455197132e-05,5.98494623655914e-05,5.28698924731183e-05,1,359.7068251
BH-00355,BH-00355,2,Peene,Freshwater,-8.45092795,-0.256033238632963,0.00106625089605735,0.0077184229390681,8.11193548387097e-05,1.84207885304659e-05,7.49677419354839e-05,1,395.6083922
BH-00355,BH-00355,2,Peene,Freshwater,-8.2848137375,-0.0773286171199957,0.00085563440860215,0.00739598566308244,7.10010752688172e-05,1.26652329749104e-05,6.45057347670251e-05,1,431.5101389
BH-00355,BH-00355,2,Peene,Freshwater,-8.2314631875,-0.0198177889443206,0.000817236559139785,0.00693164874551971,6.38551971326165e-05,1.18022580645161e-05,6.35964157706093e-05,1,467.6419571
BH-00355,BH-00355,2,Peene,Freshwater,-8.210850475,0.000938381423806076,0.000819720430107527,0.00702362007168459,6.99455197132616e-05,8.81236559139785e-06,5.69942652329749e-05,1,537.4988372
BH-00355,BH-00355,2,Peene,Freshwater,-8.138099725,0.0691268979642938,0.000783139784946236,0.00695150537634409,6.49322580645161e-05,7.22598566308244e-06,3.86921146953405e-05,1,572.6587116
BH-00355,BH-00355,2,Peene,Freshwater,-8.04352375,0.156422864349756,0.000769390681003584,0.00764344086021506,6.81770609318997e-05,8.24623655913979e-06,4.8126164874552e-05,1,607.5870308
BH-00355,BH-00355,2,Peene,Freshwater,-8.1077869125,0.0859090375956619,0.000748136200716846,0.00706272401433692,5.91921146953405e-05,6.57136200716846e-06,3.41537634408602e-05,1,642.5153695
BH-00355,BH-00355,2,Peene,Freshwater,-8.259350975,-0.0687501625658078,0.000923906810035842,0.00695695340501792,5.4078853046595e-05,6.4189605734767e-06,1.6907311827957e-05,1,677.4437246
BH-00355,BH-00355,2,Peene,Freshwater,-8.395152375,-0.195661820044346,0.00090110394265233,0.0062721146953405,4.7815770609319e-05,6.8120788530466e-06,1.12766666666667e-05,2,712.6043783
BH-00355,BH-00355,2,Peene,Freshwater,-8.40242745,-0.198321377233815,0.000801064516129032,0.00616591397849462,6.31100358422939e-05,6.67745519713262e-06,1.33396415770609e-05,2,747.532608
BH-00355,BH-00355,2,Peene,Freshwater,-8.0374611875,0.156717874044896,0.000815354838709678,0.00585856630824373,6.68168458781362e-05,7.23329749103943e-06,2.83845878136202e-05,2,782.4608616
BH-00355,BH-00355,2,Peene,Freshwater,-7.5330559875,0.633028831657121,0.000879562724014337,0.00630444444444445,6.44956989247312e-05,8.32541218637993e-06,6.16655913978495e-05,2,817.6221621
BH-00355,BH-00355,2,Peene,Freshwater,-7.3693668,0.7785696424533,0.00087863082437276,0.00673931899641577,7.35562724014337e-05,7.71043010752688e-06,4.00046594982079e-05,2,852.5502918
BH-00355,BH-00355,2,Peene,Freshwater,-7.49061805,0.6361270694267,0.000851379928315412,0.00585985663082437,6.72559139784946e-05,6.59587813620072e-06,3.93498207885305e-05,2,887.4784504
BH-00355,BH-00355,2,Peene,Freshwater,-7.376641875,0.734901628960744,0.000788734767025089,0.0056615770609319,6.31491039426523e-05,6.90903225806452e-06,3.96003584229391e-05,2,922.4066348
BH-00355,BH-00355,2,Peene,Freshwater,,,0.000807301075268817,0.00657329749103943,6.32741935483871e-05,7.73749103942653e-06,4.64232974910394e-05,2,957.5682743
BH-00355,BH-00355,2,Peene,Freshwater,,,0.000840562724014337,0.00629215053763441,5.88032258064516e-05,6.86297491039426e-06,4.30519713261649e-05,2,992.4963476
BH-00355,BH-00355,2,Peene,Freshwater,,,0.000931275985663083,0.00576405017921147,4.98186379928315e-05,5.48412186379928e-06,3.22093189964158e-05,2,1027.42445
BH-00355,BH-00355,2,Peene,Freshwater,,,0.00118386379928315,0.00631354838709677,5.10569892473118e-05,6.11430107526882e-06,1.11944802867383e-05,2,1062.586467
BH-00355,BH-00355,2,Peene,Freshwater,,,0.00111761290322581,0.00630817204301075,4.77455197132616e-05,7.05541218637993e-06,7.71028673835128e-06,3,1097.514465
BH-00355,BH-00355,2,Peene,Freshwater,,,0.00115659498207885,0.00618562724014337,5.58247311827958e-05,7.80086021505376e-06,1.93683154121864e-05,3,1132.442493
BH-00355,BH-00355,2,Peene,Freshwater,,,0.00105077777777778,0.00627222222222222,7.23222222222222e-05,6.91222222222222e-06,2.72666666666667e-05,3,1167.604813
BH-00356,BH-00356,7,Peene,Freshwater,-8.642504925,-0.686892994271699,0.00134666666666667,0.00771555555555556,0.000103411111111111,2.60777777777778e-05,0.000158111111111111,1,36.23534186
BH-00356,BH-00356,7,Peene,Freshwater,-8.5830918125,-0.589214762207413,0.00140292929292929,0.00727222222222222,0.000102527272727273,2.57515151515151e-05,0.000134919191919192,1,72.47068373
BH-00356,BH-00356,7,Peene,Freshwater,-8.52852875,-0.491784600780758,0.00143979797979798,0.00727464646464647,8.26050505050505e-05,2.67272727272727e-05,0.000162030303030303,1,129.5569373
BH-00356,BH-00356,7,Peene,Freshwater,-8.3551394625,-0.271689381167788,0.00131686868686869,0.00654010101010101,8.56232323232323e-05,2.37050505050505e-05,0.000114730303030303,1,291.3022485
BH-00356,BH-00356,7,Peene,Freshwater,-8.1320371625,-0.0211939068240405,0.00127535353535354,0.00622181818181818,6.68757575757576e-05,2.01828282828283e-05,0.000128232323232323,1,327.5362575
BH-00356,BH-00356,7,Peene,Freshwater,-7.8798345625,0.24623696323802,0.00120919191919192,0.00616838383838384,6.76282828282828e-05,1.28366666666667e-05,9.85616161616162e-05,1,364.2471688
